time,MET,T_C,RH_pct,P_hPa
   0.5s,28763,24.40,46.0,993.2
   1.0s,28764,24.40,46.0,993.2
   1.5s,28765,24.50,46.0,993.2
   2.0s,28766,24.50,46.0,993.2
   2.5s,28767,24.50,46.0,993.2
   3.0s,28768,24.50,46.0,993.2
   3.5s,28769,24.50,46.0,993.2
   4.0s,28770,24.50,46.0,993.2
   4.5s,28771,24.50,46.0,993.2
   5.0s,28772,24.50,46.0,993.2
   5.5s,28773,24.50,46.0,993.2
   6.0s,28774,24.50,46.0,993.2
   6.5s,28775,24.50,46.0,993.2
   7.0s,28776,24.50,46.0,993.2
   7.5s,28777,24.50,46.0,993.2
   8.0s,28778,24.50,46.0,993.2
   8.5s,28779,24.50,46.0,993.2
   9.0s,28780,24.50,46.0,993.2
   9.5s,28781,24.50,46.0,993.2
  10.0s,28782,24.50,46.0,993.2
  10.5s,28783,24.50,46.0,993.2
  11.0s,28784,24.50,46.0,993.2
  11.5s,28785,24.50,46.0,993.2
  12.0s,28786,24.50,46.0,993.2
  12.5s,28787,24.50,46.0,993.2
  13.0s,28788,24.50,46.0,993.2
  13.5s,28789,24.50,46.0,993.2
  14.0s,28790,24.50,46.0,993.2
  14.5s,28791,24.50,46.0,993.2
  15.0s,28792,24.50,46.0,993.2
  15.5s,28793,24.50,46.0,993.2
  16.0s,28794,24.50,46.0,993.2
  16.5s,28795,24.50,46.0,993.2
  17.0s,28796,24.50,46.0,993.2
  17.5s,28797,24.50,46.0,993.2
  18.0s,28798,24.50,46.0,993.2
  18.5s,28799,24.50,46.0,993.2
  19.0s,28800,24.50,46.0,993.2
  19.5s,28801,24.50,46.0,993.2
  20.0s,28802,24.50,46.0,993.2
  20.5s,28803,24.50,46.0,993.2
  21.0s,28804,24.50,48.0,993.2
  21.5s,28805,24.50,50.0,993.2
  22.0s,28806,24.40,52.0,993.2
  22.5s,28807,24.40,50.0,993.2
  23.0s,28808,24.40,49.0,993.2
  23.5s,28809,24.40,49.0,993.2
  24.0s,28810,24.40,50.0,993.2
  24.5s,28811,24.40,50.0,993.2
  25.0s,28812,24.40,49.0,993.2
  25.5s,28813,24.40,48.0,993.2
  26.0s,28814,24.40,48.0,993.2
  26.5s,28815,24.40,48.0,993.2
  27.0s,28816,24.40,48.0,993.2
  27.5s,28817,24.40,47.0,993.2
  28.0s,28818,24.40,47.0,993.2
  28.5s,28819,24.50,47.0,993.2
  29.0s,28820,24.50,47.0,993.2
  29.5s,28821,24.50,47.0,993.2
  30.0s,28822,24.50,47.0,993.2
  30.5s,28823,24.50,47.0,993.2
  31.0s,28824,24.50,47.0,993.2
  31.5s,28825,24.50,47.0,993.2
  32.0s,28826,24.50,47.0,993.2
  32.5s,28827,24.50,47.0,993.2
  33.0s,28828,24.50,47.0,993.2
  33.5s,28829,24.50,47.0,993.2
  34.0s,28830,24.50,46.0,993.2
  34.5s,28831,24.50,46.0,993.2
  35.0s,28832,24.50,46.0,993.2
  35.5s,28833,24.50,46.0,993.2
  36.0s,28834,24.50,46.0,993.2
  36.5s,28835,24.50,46.0,993.2
  37.0s,28836,24.40,46.0,993.2
  37.5s,28837,24.40,46.0,993.2
  38.0s,28838,24.40,46.0,993.2
  38.5s,28839,24.50,46.0,993.2
  39.0s,28840,24.50,46.0,993.2
  39.5s,28841,24.50,46.0,993.2
  40.0s,28842,24.50,46.0,993.2
  40.5s,28843,24.40,46.0,993.2
  41.0s,28844,24.40,46.0,993.2
  41.5s,28845,24.40,46.0,993.2
  42.0s,28846,24.40,46.0,993.0
  42.5s,28847,24.40,46.0,993.0
  43.0s,28848,24.40,46.0,993.0
  43.5s,28849,24.40,46.0,993.2
  44.0s,28850,24.40,46.0,993.2
  44.5s,28851,24.40,46.0,993.2
  45.0s,28852,24.40,46.0,993.2
  45.5s,28853,24.40,46.0,993.2
  46.0s,28854,24.40,46.0,993.2
  46.5s,28855,24.40,46.0,993.2
